feature,cluster
daily_range,1
daily_range_rank,1
daily_range_zscore,1
volatility_21d,2
volatility_21d_rank,2
volatility_21d_zscore,2
volatility_63d,2
volatility_63d_rank,2
volatility_63d_zscore,2
close,3
high,3
low,3
open,3
sma_200,3
momentum_252d,4
momentum_252d_rank,4
momentum_252d_zscore,4
momentum_spread_63_252,4
dist_sma_200,5
dist_sma_200_rank,5
dist_sma_200_zscore,5
momentum_126d,5
momentum_126d_rank,5
momentum_126d_zscore,5
sma_spread_50_200,5
momentum_63d,6
momentum_63d_rank,6
momentum_63d_zscore,6
momentum_spread_21_63,6
return_63d,6
return_63d_rank,6
return_63d_zscore,6
vol_adjusted_momentum,6
return_5d,7
